film_title,person_name,role,credit_order,added_at,removed_at,survival_hours,outcome
Limiar-4,Victor Hugo Cruz Freire,cast,4,2026-08-31T09:38:38.457964+00:00,,,attached
Limiar-4,Luiz Fernando Neves,cast,3,2026-08-31T09:38:38.457964+00:00,,,attached
Johan Falk 18,Fredrik Dolk,cast,4,2026-08-31T09:39:13.977723+00:00,,,attached
Johan Falk 18,Jonas Fagerström,cast,3,2026-08-31T09:39:13.977723+00:00,,,attached
Go for Broke 2,Sammo Hung Kam-Bo,cast,2,2026-08-31T09:39:50.162599+00:00,,,attached
Johan Falk 19,Fredrik Dolk,cast,4,2026-08-31T09:40:46.270350+00:00,,,attached
Johan Falk 19,Jonas Fagerström,cast,3,2026-08-31T09:40:46.270350+00:00,,,attached
Johan Falk 20,Fredrik Dolk,cast,4,2026-08-31T09:40:46.454822+00:00,,,attached
Nissho,Nasir Uddin Khan,cast,1,2026-08-31T09:42:09.972532+00:00,,,attached
Untitled Alien: Romulus Sequel,Fede Álvarez,writer,,2026-08-31T09:45:23.711201+00:00,,,attached
Untitled Alien: Romulus Sequel,Rodo Sayagues,writer,,2026-08-31T09:45:23.711201+00:00,,,attached
A Talent for Murder,James Faulkner,cast,4,2026-09-01T09:00:57.621691+00:00,,,attached
Daayra,Jitendra Joshi,cast,3,2026-09-01T09:01:29.111603+00:00,,,attached
Daayra,Kshitee Jog,cast,2,2026-09-01T09:01:29.111603+00:00,,,attached
Daayra,Biswapati Sarkar,cast,4,2026-09-01T09:01:29.111603+00:00,,,attached
Special,Mathias Muchus,cast,0,2026-09-01T09:02:01.700263+00:00,,,attached
Special,Agus Kuncoro,cast,3,2026-09-01T09:02:01.700263+00:00,,,attached
Special,Ajil Ditto,cast,2,2026-09-01T09:02:01.700263+00:00,,,attached
Special,Yanni Melwani,cast,1,2026-09-01T09:02:01.700263+00:00,,,attached
Pendulum,Jena Malone,cast,1,2026-09-01T09:02:14.760768+00:00,,,attached
Strong Son,Yuvraj Dhesi,cast,2,2026-09-01T09:02:37.843814+00:00,,,attached
Strong Son,Quinn Greene,cast,4,2026-09-01T09:02:37.843814+00:00,,,attached
Strong Son,Mandeep Sodhi,cast,0,2026-09-01T09:02:37.843814+00:00,,,attached
Strong Son,Amirit Parbhakar,cast,1,2026-09-01T09:02:37.843814+00:00,,,attached
Ground Floor,Ádám Tompa,cast,0,2026-09-01T09:03:16.034271+00:00,,,attached
Mirzapur: The Movie,Ravi Kishan,cast,4,2026-09-01T09:03:23.614689+00:00,,,attached
